X,Y,Z
-14.810000,5.640000,-14.290000
5.350000,-15.110000,-63.670000
5.420000,-15.400000,-63.770000
5.720000,-15.160000,-63.680000
5.440000,4.640000,35.430000
6.000000,-16.240000,-63.520000
5.430000,-15.090000,-63.680000
5.230000,-15.370000,-63.740000
-14.420000,5.710000,-14.010000
-14.630000,6.120000,-13.930000
-15.600000,6.380000,-14.000000
-14.700000,5.930000,-13.950000
6.080000,-16.690000,-63.290000
-15.860000,6.390000,-14.330000
5.310000,-15.170000,-63.700000
5.370000,-15.100000,-63.690000
6.010000,5.020000,35.650000
-14.780000,5.570000,-14.220000
5.240000,4.850000,35.450000
5.320000,-15.130000,-63.650000
-15.670000,6.440000,-14.040000
-16.010000,6.200000,-14.010000
-15.780000,6.490000,-14.030000
-14.400000,5.720000,-14.020000
-14.450000,5.650000,-14.040000
5.950000,-15.790000,-63.770000
5.310000,-15.190000,-63.770000
6.030000,-16.500000,-63.410000
5.390000,4.660000,35.380000
-14.780000,6.190000,-13.930000
5.650000,4.690000,35.650000
6.000000,-16.370000,-63.640000
-14.990000,5.950000,-14.450000
5.290000,4.780000,35.390000
5.990000,-16.070000,-63.530000
-14.790000,5.670000,-14.360000
-14.560000,5.610000,-14.170000
5.520000,5.070000,35.320000
-14.400000,5.790000,-13.920000
5.690000,4.660000,35.380000
-14.450000,5.810000,-13.840000
-14.480000,5.640000,-13.970000
5.430000,-15.080000,-63.650000
5.200000,-15.670000,-63.600000
6.070000,-16.630000,-63.410000
5.960000,-16.450000,-63.570000
5.830000,-16.650000,-63.410000
6.010000,-16.340000,-63.620000
5.380000,4.850000,35.290000
-14.580000,5.890000,-14.180000
-14.700000,5.670000,-13.950000
-14.470000,5.650000,-14.140000
6.590000,5.920000,35.270000
-14.900000,6.290000,-13.940000
5.420000,4.660000,35.390000
5.490000,-15.070000,-63.700000
6.250000,5.780000,35.650000
5.410000,4.650000,35.460000
5.510000,-15.290000,-63.410000
5.180000,-15.380000,-63.590000
5.830000,4.900000,35.290000
5.530000,4.660000,35.290000
5.770000,5.590000,35.290000
-14.630000,6.020000,-13.960000
-14.590000,5.660000,-14.240000
5.790000,4.720000,35.290000
-14.390000,5.900000,-14.170000
5.440000,-15.240000,-63.410000
-14.670000,5.650000,-14.040000
5.540000,-15.060000,-63.620000
5.440000,4.640000,35.470000
5.690000,4.660000,35.350000
5.440000,4.640000,35.440000
-14.480000,5.740000,-13.890000
6.620000,5.960000,35.170000
-14.630000,5.960000,-14.380000
5.280000,-15.190000,-63.680000
5.660000,5.280000,35.650000
5.760000,4.670000,35.350000
-14.580000,5.710000,-13.930000
5.940000,-16.470000,-63.660000
5.940000,-16.470000,-63.460000
5.370000,-15.460000,-63.410000
5.970000,-16.720000,-63.270000
6.250000,5.720000,35.500000
5.850000,-16.760000,-63.780000
6.580000,5.580000,35.290000
5.620000,-15.270000,-63.770000
5.830000,4.680000,35.460000
5.290000,-15.150000,-63.600000
-15.790000,6.240000,-13.980000
5.560000,5.130000,35.320000
-15.850000,6.360000,-13.840000
5.390000,4.650000,35.450000
5.930000,-16.480000,-63.460000
5.350000,4.710000,35.470000
5.500000,4.820000,35.290000
-14.760000,5.590000,-14.240000
5.360000,-15.130000,-63.700000
5.340000,-15.490000,-63.410000
5.220000,-15.440000,-63.740000
5.530000,4.930000,35.520000
-16.100000,6.190000,-13.830000
-14.390000,5.760000,-14.000000
5.970000,-16.640000,-63.770000
5.580000,-15.120000,-63.770000
5.270000,4.880000,35.350000
5.440000,-15.070000,-63.640000
5.870000,4.730000,35.310000
5.830000,-16.570000,-63.770000
-14.540000,5.630000,-14.120000
-14.540000,5.650000,-14.220000
5.770000,5.430000,35.290000
5.490000,4.870000,35.650000
-14.540000,5.610000,-14.050000
6.110000,-16.690000,-63.880000
5.830000,4.690000,35.370000
-15.740000,6.540000,-14.040000
5.590000,-15.370000,-63.520000
5.210000,-15.410000,-63.690000
-14.430000,5.680000,-13.990000
5.440000,4.860000,35.650000
-14.740000,6.140000,-14.040000
5.300000,4.780000,35.350000
-14.580000,6.010000,-14.050000
5.530000,-15.080000,-63.690000
5.460000,5.020000,35.650000
6.390000,5.740000,35.300000
5.520000,-15.340000,-63.770000
-14.480000,5.650000,-14.140000
6.100000,5.220000,35.290000
5.600000,-15.140000,-63.410000
5.320000,-15.180000,-63.740000
5.500000,-15.070000,-63.680000
5.510000,4.870000,35.290000
-14.390000,5.720000,-14.060000
5.220000,-15.580000,-63.760000
5.780000,-15.290000,-63.770000
-14.400000,5.700000,-14.100000
6.440000,5.720000,35.600000
-15.960000,6.210000,-14.020000
-14.570000,5.590000,-14.170000
5.420000,4.650000,35.450000
5.320000,4.760000,35.330000
5.290000,4.750000,35.420000
5.400000,4.690000,35.310000
5.540000,-15.340000,-63.410000
5.500000,-15.340000,-63.410000
-14.640000,6.020000,-14.030000
-14.410000,5.720000,-13.950000
6.480000,5.670000,35.650000
5.360000,-15.080000,-63.590000
6.550000,5.490000,35.650000
-14.510000,5.910000,-13.790000
5.680000,-15.920000,-63.410000
6.490000,5.250000,35.290000
5.570000,-16.020000,-63.410000
-14.400000,5.720000,-13.970000
-14.460000,5.960000,-14.110000
5.410000,-15.590000,-63.410000
5.380000,4.690000,35.380000
5.380000,-15.110000,-63.600000
-14.450000,5.660000,-14.140000
6.400000,5.920000,35.650000
5.310000,-15.120000,-63.600000
-14.480000,5.640000,-14.080000
-14.480000,6.000000,-14.150000
6.160000,-16.460000,-63.770000
5.440000,-15.090000,-63.730000
5.240000,-15.310000,-63.750000
5.200000,-15.430000,-63.720000
-15.050000,6.060000,-14.340000
5.490000,4.880000,35.290000
5.780000,-16.650000,-63.410000
5.410000,-15.090000,-63.680000
5.480000,-15.060000,-63.650000
6.440000,5.970000,35.290000
5.280000,4.780000,35.420000
5.350000,4.700000,35.390000
5.420000,-15.110000,-63.740000
5.180000,-15.430000,-63.620000
-14.610000,5.600000,-14.220000
-14.700000,5.580000,-14.190000
-14.430000,5.700000,-13.970000
5.500000,-15.080000,-63.710000
-15.490000,6.660000,-13.920000
-14.430000,5.670000,-14.110000
6.190000,5.710000,35.290000
5.870000,-16.630000,-63.770000
5.260000,4.850000,35.410000
-14.640000,5.840000,-13.760000
-14.920000,5.620000,-14.270000
6.640000,5.690000,35.290000
5.320000,-15.130000,-63.590000
-14.390000,5.680000,-14.060000
-14.820000,5.610000,-14.290000
-16.080000,6.200000,-13.970000
5.510000,-15.060000,-63.630000
-15.120000,5.700000,-14.210000
5.520000,-15.350000,-63.770000
5.280000,4.810000,35.360000
6.650000,5.870000,35.670000
-14.460000,5.640000,-14.020000
5.520000,5.010000,35.470000
5.300000,-16.280000,-63.770000
-15.080000,5.630000,-14.260000
5.630000,-15.100000,-63.630000
5.710000,5.340000,35.380000
5.970000,-16.760000,-63.350000
5.250000,4.950000,35.400000
5.480000,-15.140000,-63.770000
5.850000,-15.540000,-63.410000
6.130000,-16.730000,-63.840000
5.500000,5.100000,35.650000
5.490000,-15.230000,-63.770000
5.350000,-15.140000,-63.690000
-15.650000,6.310000,-13.830000
-14.640000,5.830000,-14.020000
5.780000,4.810000,35.290000
5.330000,4.880000,35.290000
-15.960000,6.200000,-14.050000
5.340000,-15.120000,-63.630000
5.450000,4.860000,35.650000
-14.810000,5.600000,-14.250000
-14.810000,5.670000,-14.350000
-15.750000,6.470000,-14.090000
5.880000,5.580000,35.390000
5.330000,4.820000,35.650000
5.330000,-15.110000,-63.590000
6.210000,-16.320000,-63.410000
6.030000,-16.470000,-63.770000
-14.460000,5.660000,-14.080000
-14.680000,5.570000,-14.160000
6.350000,5.920000,35.290000
6.010000,5.820000,35.290000
5.240000,-15.220000,-63.630000
-14.690000,5.690000,-14.030000
-14.410000,5.780000,-13.910000
5.450000,-15.370000,-63.410000
5.330000,5.100000,35.290000
-14.690000,5.880000,-13.960000
-14.710000,5.640000,-14.000000
5.930000,-16.480000,-63.740000
5.830000,4.970000,35.650000
-14.380000,5.760000,-14.040000
5.530000,4.940000,35.580000
5.310000,4.720000,35.440000
-14.860000,5.580000,-14.220000
-14.520000,5.610000,-14.040000
5.900000,4.720000,35.470000
6.370000,5.740000,35.400000
-16.080000,6.230000,-13.910000
5.560000,4.860000,35.290000
-14.650000,5.660000,-14.300000
5.290000,-15.160000,-63.600000
5.740000,-16.550000,-63.770000
-15.780000,6.300000,-13.870000
-14.450000,5.690000,-13.920000
5.360000,4.710000,35.470000
-14.480000,5.630000,-14.110000
5.710000,-15.320000,-63.770000
5.900000,-16.680000,-63.410000
6.660000,5.840000,35.780000
-14.660000,5.710000,-13.980000
-14.450000,5.690000,-14.160000
-14.620000,5.750000,-13.920000
